source_id,item_code,item_name,color,quantity,checked_date
R001, kit-001 ,Paper   Kite Kit, Blue ,012,2026-09-15
R002,KIT-001,Paper Kite Kit,blue,12,2026-09-15
R003,kit-002,Ribbon Set, RED ,0,2026-09-16
R004,KIT-003,Wooden Spool,natural,,2026-09-16
R005,KIT-004,Felt Shapes,green,8,2026-09-17
R006, kit-004 ,Felt Shapes,Green,10,2026-09-17
R007,KIT-005,Cardboard Tube,kraft,ten,2026-09-17
R008,KIT-006,Sticker Sheet,multicolor,5,09/10/2026
R009,KIT-007,Cotton Cord,white,7,2026-02-30
R010, kit-008 ,Envelope Pack, Ivory , 4 , 2026-09-18 
